Year,Start Date,End Date,Days Active,Storm Name,Storm Category,Max Wind (mph),Min Pressure mbar,Damage $millions,Deaths,Caribbean,Florida,US Gulf Coast,US East Coast,Canada,Mexico,Central America,Africa
2003,9/6/2003,9/20/2003,15,Isabel,5,165,915,5370,50,1,0,0,1,1,0,0,0
2003,9/24/2003,9/29/2003,6,Juan,2,105,969,200,5,0,0,0,0,1,0,0,0
2003,9/25/2003,10/7/2003,13,Kate,3,125,952,0,0,0,0,0,0,0,0,0,0
2002,9/8/2002,9/12/2002,5,Gustav,2,100,960,0.34,4,0,0,0,1,0,0,0,0
2002,9/14/2002,9/27/2002,14,Isidore,3,125,934,1300,22,1,0,1,0,0,1,0,0
2002,9/20/2002,10/12/2002,23,Kyle,1,85,980,5,1,1,1,0,1,0,0,0,0
2002,9/21/2002,10/4/2002,14,Lili,4,145,938,925,15,1,0,1,0,0,0,0,0
2001,9/1/2001,9/15/2001,15,Erin,3,120,968,0,0,1,0,0,0,0,0,0,0
2001,9/7/2001,9/19/2001,13,Felix,3,115,962,0,0,0,0,0,0,0,0,0,0
2001,9/11/2001,9/19/2001,9,Gabrielle,1,80,975,230,3,0,1,0,0,1,0,0,0
2001,9/21/2001,9/27/2001,7,Humberto,2,105,970,0,0,1,0,0,0,0,0,0,0
2001,10/4/2001,10/9/2001,6,Iris,4,145,948,140,31,1,0,0,0,0,1,1,0
2001,10/12/2001,10/15/2001,4,Karen,1,80,982,1.4,0,0,0,0,0,1,0,0,0
2001,10/29/2001,11/5/2001,8,Michelle,4,140,933,2000,17,1,0,0,0,0,0,1,0
2001,11/4/2001,11/6/2001,3,Noel,1,75,986,0,0,0,0,0,0,0,0,0,0
2001,11/24/2001,12/4/2001,11,Olga,1,90,973,0,0,1,0,0,0,0,0,0,0
2000,8/3/2000,8/23/2000,21,Alberto,3,125,950,0,0,0,0,0,1,0,0,0,1
2000,8/19/2000,8/24/2000,6,Debby,1,85,991,0.735,1,1,1,0,0,0,0,0,0
2000,9/10/2000,9/17/2000,8,Florence,1,80,985,0,3,1,0,0,1,1,0,0,0
2000,9/14/2000,9/21/2000,8,Gordon,1,80,981,10.8,26,0,1,0,1,0,1,0,0
2000,9/21/2000,10/1/2000,11,Isaac,4,140,943,0,1,1,0,0,1,0,0,0,0
2000,9/28/2000,10/6/2000,9,Keith,4,140,939,319,40,0,0,0,0,0,1,1,0
1999,8/18/1999,8/25/1999,8,Bret,4,145,944,15,7,0,0,1,0,0,1,0,0
1999,8/19/1999,8/31/1999,13,Cindy,4,140,942,0,0,0,0,0,0,0,0,0,0
1999,8/24/1999,9/9/1999,17,Dennis,2,105,962,157,4,0,0,0,1,1,0,0,0
1999,9/7/1999,9/17/1999,11,Floyd,4,155,921,6900,77,1,0,0,1,1,0,0,0
1999,9/11/1999,9/23/1999,13,Gert,4,150,930,1.9,2,1,0,0,1,1,0,0,0
1999,10/12/1999,10/19/1999,8,Irene,2,110,958,800,18,1,0,0,1,0,0,0,0
1999,10/17/1999,10/25/1999,9,Jose,2,100,979,5,3,1,0,0,0,0,0,0,0
1999,11/13/1999,11/23/1999,11,Lenny,4,155,933,685.8,17,1,0,0,0,0,0,0,0
1998,8/19/1998,8/30/1998,12,Bonnie,3,115,954,1000,5,0,0,0,1,1,0,0,0
