name,year,area_m2,area_k2,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,native2016,pacific2016,black2016,other2016,white2016,births10to16,deaths10to16
Vance,1881,270,699,45419,45307,45003,45003,44905,44970,44945,418,229,23178,689,20431,3550,3061
Wake,1771,857,2220,901037,929780,964022,964022,984360,1006053,1026748,10955,66846,227203,27388,694356,78745,30349
Warren,1779,444,1150,21037,20861,20503,20503,20525,20521,20121,1137,78,10364,393,8149,1156,1482
Washington,1799,424,1098,13218,12973,12825,12825,12636,12565,12425,93,35,6392,217,5688,800,1000
Watauga,1849,313,811,51079,51333,52655,52655,52949,53725,54992,149,639,1053,924,52227,2217,2171
Wayne,1779,557,1443,122638,123697,125276,125276,125443,125011,124808,1141,1943,38564,3176,79984,10606,7554
Wilkes,1777,760,1968,69305,68984,69714,69714,69793,69644,70027,302,420,2967,1094,65244,4272,4782
Wilson,1855,374,969,81237,81452,81350,81350,81257,81616,81758,495,959,32884,1346,46074,6028,5335
Yadkin,1850,337,873,38406,38279,38118,38118,37815,37675,37725,286,160,1164,449,35666,2441,2602
Yancey,1833,313,811,17817,17701,17917,17917,17913,17940,18142,141,109,165,201,17526,1068,1380
