id,decade,year,month,date,co2raw,co2adj,days
131,1960s,1969,Jan,1969.042,324,323.98,
132,1960s,1969,Feb,1969.125,324.42,323.89,
133,1960s,1969,Mar,1969.208,325.64,324.41,
134,1960s,1969,Apr,1969.292,326.66,324.35,
135,1960s,1969,May,1969.375,327.34,324.57,
136,1960s,1969,Jun,1969.458,326.76,324.63,
137,1960s,1969,Jul,1969.542,325.88,325.07,
138,1960s,1969,Aug,1969.625,323.67,324.8,
139,1960s,1969,Sep,1969.708,322.38,325.28,
140,1960s,1969,Oct,1969.792,321.78,324.84,
141,1960s,1969,Nov,1969.875,322.85,324.78,
142,1960s,1969,Dec,1969.958,324.12,324.88,
143,1970s,1970,Jan,1970.042,325.03,325.04,
144,1970s,1970,Feb,1970.125,325.99,325.42,
145,1970s,1970,Mar,1970.208,326.87,325.69,
146,1970s,1970,Apr,1970.292,328.14,325.86,
147,1970s,1970,May,1970.375,328.07,325.27,
148,1970s,1970,Jun,1970.458,327.66,325.52,
149,1970s,1970,Jul,1970.542,326.35,325.51,
150,1970s,1970,Aug,1970.625,324.69,325.76,
151,1970s,1970,Sep,1970.708,323.1,325.93,
152,1970s,1970,Oct,1970.792,323.16,326.15,
153,1970s,1970,Nov,1970.875,323.98,325.96,
154,1970s,1970,Dec,1970.958,325.13,326.06,
155,1970s,1971,Jan,1971.042,326.17,326.26,
156,1970s,1971,Feb,1971.125,326.68,326.09,
157,1970s,1971,Mar,1971.208,327.18,325.94,
158,1970s,1971,Apr,1971.292,327.78,325.47,
159,1970s,1971,May,1971.375,328.92,326.11,
160,1970s,1971,Jun,1971.458,328.57,326.41,
161,1970s,1971,Jul,1971.542,327.34,326.46,
162,1970s,1971,Aug,1971.625,325.46,326.49,
163,1970s,1971,Sep,1971.708,323.36,326.18,
164,1970s,1971,Oct,1971.792,323.56,326.58,
165,1970s,1971,Nov,1971.875,324.8,326.82,
166,1970s,1971,Dec,1971.958,326.01,327.02,
167,1970s,1972,Jan,1972.042,326.77,326.86,
168,1970s,1972,Feb,1972.125,327.63,327.05,
169,1970s,1972,Mar,1972.208,327.75,326.52,
170,1970s,1972,Apr,1972.292,329.72,327.41,
171,1970s,1972,May,1972.375,330.07,327.21,
172,1970s,1972,Jun,1972.458,329.09,326.94,
173,1970s,1972,Jul,1972.542,328.05,327.24,
174,1970s,1972,Aug,1972.625,326.32,327.37,
175,1970s,1972,Sep,1972.708,324.93,327.73,
176,1970s,1972,Oct,1972.792,325.06,328.05,
177,1970s,1972,Nov,1972.875,326.5,328.5,
178,1970s,1972,Dec,1972.958,327.55,328.56,
179,1970s,1973,Jan,1973.042,328.55,328.58,
180,1970s,1973,Feb,1973.125,329.56,328.87,
181,1970s,1973,Mar,1973.208,330.3,328.99,
182,1970s,1973,Apr,1973.292,331.5,329.12,
183,1970s,1973,May,1973.375,332.48,329.6,
184,1970s,1973,Jun,1973.458,332.07,329.96,
185,1970s,1973,Jul,1973.542,330.87,330.1,
186,1970s,1973,Aug,1973.625,329.31,330.43,
187,1970s,1973,Sep,1973.708,327.51,330.43,
188,1970s,1973,Oct,1973.792,327.18,330.23,
189,1970s,1973,Nov,1973.875,328.16,330.17,
190,1970s,1973,Dec,1973.958,328.64,329.66,
191,1970s,1974,Jan,1974.042,329.35,329.44,
192,1970s,1974,Feb,1974.125,330.71,330.11,
193,1970s,1974,Mar,1974.208,331.48,330.19,
194,1970s,1974,Apr,1974.292,332.65,330.25,
195,1970s,1974,May,1974.375,333.15,330.25,14
196,1970s,1974,Jun,1974.458,332.13,329.93,26
197,1970s,1974,Jul,1974.542,330.99,330.2,24
198,1970s,1974,Aug,1974.625,329.17,330.31,27
199,1970s,1974,Sep,1974.708,327.41,330.35,24
200,1970s,1974,Oct,1974.792,327.21,330.29,24
201,1970s,1974,Nov,1974.875,328.34,330.33,27
202,1970s,1974,Dec,1974.958,329.5,330.47,28
203,1970s,1975,Jan,1975.042,330.68,330.81,29
204,1970s,1975,Feb,1975.125,331.41,330.86,26
205,1970s,1975,Mar,1975.208,331.85,330.49,18
206,1970s,1975,Apr,1975.292,333.29,330.77,25
207,1970s,1975,May,1975.375,333.91,330.94,28
208,1970s,1975,Jun,1975.458,333.4,331.18,26
209,1970s,1975,Jul,1975.542,331.74,330.92,24
210,1970s,1975,Aug,1975.625,329.88,331.06,24
211,1970s,1975,Sep,1975.708,328.57,331.54,23
212,1970s,1975,Oct,1975.792,328.35,331.46,12
213,1970s,1975,Nov,1975.875,329.33,331.39,19
214,1970s,1975,Dec,1975.958,,331.6,0
215,1970s,1976,Jan,1976.042,331.66,331.82,20
216,1970s,1976,Feb,1976.125,332.75,332.19,22
217,1970s,1976,Mar,1976.208,333.46,331.99,20
218,1970s,1976,Apr,1976.292,334.78,332.24,19
219,1970s,1976,May,1976.375,334.79,331.86,22
220,1970s,1976,Jun,1976.458,334.05,331.74,17
221,1970s,1976,Jul,1976.542,332.95,332.06,16
222,1970s,1976,Aug,1976.625,330.64,331.87,23
223,1970s,1976,Sep,1976.708,328.96,331.94,13
224,1970s,1976,Oct,1976.792,328.77,331.92,20
225,1970s,1976,Nov,1976.875,330.18,332.33,25
226,1970s,1976,Dec,1976.958,331.65,332.69,20
227,1970s,1977,Jan,1977.042,332.69,332.75,24
228,1970s,1977,Feb,1977.125,333.23,332.6,19
229,1970s,1977,Mar,1977.208,334.97,333.36,23
230,1970s,1977,Apr,1977.292,336.03,333.39,21
231,1970s,1977,May,1977.375,336.82,333.87,20
232,1970s,1977,Jun,1977.458,336.1,333.76,22
233,1970s,1977,Jul,1977.542,334.79,333.96,21
234,1970s,1977,Aug,1977.625,332.53,333.92,18
235,1970s,1977,Sep,1977.708,331.19,334.27,19
236,1970s,1977,Oct,1977.792,331.21,334.43,23
237,1970s,1977,Nov,1977.875,332.35,334.59,21
238,1970s,1977,Dec,1977.958,333.47,334.48,26
239,1970s,1978,Jan,1978.042,335.09,335.11,22
240,1970s,1978,Feb,1978.125,335.26,334.58,25
241,1970s,1978,Mar,1978.208,336.62,334.95,28
242,1970s,1978,Apr,1978.292,337.77,335.11,18
243,1970s,1978,May,1978.375,338,335.05,26
244,1970s,1978,Jun,1978.458,337.98,335.6,17
245,1970s,1978,Jul,1978.542,336.48,335.68,22
246,1970s,1978,Aug,1978.625,334.37,335.88,19
247,1970s,1978,Sep,1978.708,332.33,335.49,17
248,1970s,1978,Oct,1978.792,332.4,335.66,23
249,1970s,1978,Nov,1978.875,333.76,336.01,24
250,1970s,1978,Dec,1978.958,334.83,335.79,27
251,1970s,1979,Jan,1979.042,336.21,336.21,27
252,1970s,1979,Feb,1979.125,336.64,335.92,26
253,1970s,1979,Mar,1979.208,338.13,336.37,21
254,1970s,1979,Apr,1979.292,338.96,336.2,21
255,1970s,1979,May,1979.375,339.02,336.03,12
256,1970s,1979,Jun,1979.458,339.2,336.82,19
257,1970s,1979,Jul,1979.542,337.6,336.8,26
258,1970s,1979,Aug,1979.625,335.56,337.12,23
259,1970s,1979,Sep,1979.708,333.93,337.18,19
260,1970s,1979,Oct,1979.792,334.12,337.45,24
261,1970s,1979,Nov,1979.875,335.26,337.53,27
262,1970s,1979,Dec,1979.958,336.78,337.74,22
263,1980s,1980,Jan,1980.042,337.8,337.94,29
264,1980s,1980,Feb,1980.125,338.28,337.71,26
265,1980s,1980,Mar,1980.208,340.04,338.4,25
266,1980s,1980,Apr,1980.292,340.86,338.2,24
267,1980s,1980,May,1980.375,341.47,338.48,25
268,1980s,1980,Jun,1980.458,341.26,338.82,22
269,1980s,1980,Jul,1980.542,339.34,338.5,21
270,1980s,1980,Aug,1980.625,337.45,338.93,17
271,1980s,1980,Sep,1980.708,336.1,339.27,17
272,1980s,1980,Oct,1980.792,336.05,339.32,25
273,1980s,1980,Nov,1980.875,337.21,339.37,24
274,1980s,1980,Dec,1980.958,338.29,339.21,19
275,1980s,1981,Jan,1981.042,339.36,339.4,28
276,1980s,1981,Feb,1981.125,340.51,339.87,25
277,1980s,1981,Mar,1981.208,341.57,339.95,25
278,1980s,1981,Apr,1981.292,342.56,339.93,24
279,1980s,1981,May,1981.375,343.01,340.01,30
280,1980s,1981,Jun,1981.458,342.51,340.05,25
281,1980s,1981,Jul,1981.542,340.71,339.84,24
282,1980s,1981,Aug,1981.625,338.51,339.98,26
283,1980s,1981,Sep,1981.708,336.96,340.17,27
284,1980s,1981,Oct,1981.792,337.13,340.44,28
285,1980s,1981,Nov,1981.875,338.58,340.74,25
286,1980s,1981,Dec,1981.958,339.91,340.79,19
287,1980s,1982,Jan,1982.042,340.92,341.02,27
288,1980s,1982,Feb,1982.125,341.69,341.04,23
289,1980s,1982,Mar,1982.208,342.87,341.18,18
290,1980s,1982,Apr,1982.292,343.83,341.21,8
291,1980s,1982,May,1982.375,344.3,341.29,26
292,1980s,1982,Jun,1982.458,343.42,341,26
293,1980s,1982,Jul,1982.542,341.85,341.1,28
294,1980s,1982,Aug,1982.625,339.82,341.32,24
295,1980s,1982,Sep,1982.708,337.98,341.19,21
296,1980s,1982,Oct,1982.792,338.09,341.42,26
297,1980s,1982,Nov,1982.875,339.24,341.37,25
298,1980s,1982,Dec,1982.958,340.67,341.54,26
299,1980s,1983,Jan,1983.042,341.42,341.56,28
300,1980s,1983,Feb,1983.125,342.67,342.07,24
301,1980s,1983,Mar,1983.208,343.45,341.88,26
302,1980s,1983,Apr,1983.292,345.08,342.45,24
303,1980s,1983,May,1983.375,345.76,342.62,28
304,1980s,1983,Jun,1983.458,345.33,342.87,20
305,1980s,1983,Jul,1983.542,343.93,343.23,20
306,1980s,1983,Aug,1983.625,342.08,343.55,16
307,1980s,1983,Sep,1983.708,340,343.15,15
308,1980s,1983,Oct,1983.792,340.12,343.44,20
309,1980s,1983,Nov,1983.875,341.35,343.47,26
310,1980s,1983,Dec,1983.958,342.89,343.78,19
311,1980s,1984,Jan,1984.042,343.87,343.95,23
312,1980s,1984,Feb,1984.125,344.59,344,23
313,1980s,1984,Mar,1984.208,345.29,343.78,19
314,1980s,1984,Apr,1984.292,,343.99,2
315,1980s,1984,May,1984.375,347.36,344.2,21
316,1980s,1984,Jun,1984.458,346.8,344.35,21
317,1980s,1984,Jul,1984.542,345.37,344.67,21
318,1980s,1984,Aug,1984.625,343.06,344.53,12
319,1980s,1984,Sep,1984.708,341.24,344.41,14
320,1980s,1984,Oct,1984.792,341.54,344.84,12
321,1980s,1984,Nov,1984.875,342.9,345,18
322,1980s,1984,Dec,1984.958,344.36,345.22,12
323,1980s,1985,Jan,1985.042,345.08,345.17,23
324,1980s,1985,Feb,1985.125,345.89,345.29,17
325,1980s,1985,Mar,1985.208,347.49,346.04,16
326,1980s,1985,Apr,1985.292,348.02,345.45,19
327,1980s,1985,May,1985.375,348.75,345.61,24
328,1980s,1985,Jun,1985.458,348.19,345.75,23
329,1980s,1985,Jul,1985.542,346.49,345.72,18
330,1980s,1985,Aug,1985.625,344.7,346.1,18
331,1980s,1985,Sep,1985.708,343.04,346.17,25
332,1980s,1985,Oct,1985.792,342.92,346.2,20
333,1980s,1985,Nov,1985.875,344.22,346.37,22
334,1980s,1985,Dec,1985.958,345.61,346.56,25
335,1980s,1986,Jan,1986.042,346.42,346.44,23
336,1980s,1986,Feb,1986.125,346.95,346.39,25
337,1980s,1986,Mar,1986.208,347.88,346.52,17
338,1980s,1986,Apr,1986.292,349.57,347.01,22
339,1980s,1986,May,1986.375,350.35,347.22,18
340,1980s,1986,Jun,1986.458,349.7,347.27,17
341,1980s,1986,Jul,1986.542,347.78,346.99,20
342,1980s,1986,Aug,1986.625,345.89,347.3,18
343,1980s,1986,Sep,1986.708,344.88,348.01,17
344,1980s,1986,Oct,1986.792,344.34,347.56,26
345,1980s,1986,Nov,1986.875,345.67,347.8,23
