NAME,TEAM,POS,SALARY
Jesse Chavez,TEX,RP,4000000
Matt Adams,WSH,1B,4000000
Kurt Suzuki,WSH,C,4000000
Howie Kendrick,WSH,OF,4000000
Martin Perez,MIN,RP,4000000
Jon Jay,CWS,RF,4000000
Aaron Sanchez,TOR,SP,3900000
Joe Panik,SF,2B,3850000
Jarrod Dyson,ARI,OF,3750000
Trea Turner,WSH,SS,3725000
Kike Hernandez,LAD,2B,3725000
Tyler Skaggs,LAA,SP,3700000
Jimmy Nelson,MIL,SP,3700000
Nick Ahmed,ARI,SS,3662500
Jurickson Profar,OAK,2B,3600000
Brock Holt,BOS,2B,3575000
Travis d'Arnaud,NYM,C,3515000
Asdrubal Cabrera,TEX,3B,3500000
Matt Shoemaker,TOR,SP,3500000
Avisail Garcia,TB,RF,3500000
Chris Taylor,LAD,2B,3500000
Andrew Heaney,LAA,SP,3400000
Addison Russell,CHC,SS,3400000
Kyle Schwarber,CHC,LF,3390000
Jonathan Lucroy,LAA,C,3350000
Chad Bettis,COL,SP,3325000
Nomar Mazara,TEX,RF,3300000
Clayton Richard,TOR,SP,3300000
Yoshihisa Hirano,ARI,RP,3250000
Greg Holland,ARI,RP,3250000
Wily Peralta,KC,RP,3250000
Jeff Mathis,TEX,C,3250000
Michael A. Taylor,WSH,CF,3250000
Jose Urena,MIA,SP,3200000
Keone Kela,PIT,RP,3175000
Jeremy Jeffress,MIL,RP,3175000
Miguel Rojas,MIA,SS,3155000
Sean Manaea,OAK,SP,3150000
Kenta Maeda,LAD,SP,3125000
Brad Peacock,HOU,SP,3110000
Kirby Yates,SD,RP,3062500
Leonys Martin,CLE,CF,3000000
Chris Owings,KC,SS,3000000
Jung-ho Kang,PIT,3B,3000000
Brad Brach,CHC,RP,3000000
Adam Jones,ARI,OF,3000000
Clay Buchholz,TOR,SP,3000000
Tucker Barnhart,CIN,C,2937500
Christian Vazquez,BOS,C,2933333
Jon Gray,COL,SP,2925000
Ryan Pressly,HOU,RP,2900000
Dylan Bundy,BAL,SP,2800000
Michael Fulmer,DET,SP,2800000
Jose Peraza,CIN,2B,2775000
Wade LeBlanc,SEA,SP,2750000
Shawn Kelley,TEX,RP,2750000
Jake Diekman,KC,RP,2750000
Lonnie Chisenhall,PIT,RF,2750000
Matt Duffy,TB,3B,2675000
Tony Cingrani,LAD,RP,2650000
Miguel Sano,MIN,3B,2650000
Roberto Perez,CLE,C,2625000
Steven Matz,NYM,SP,2625000
Tyler Anderson,COL,SP,2625000
Matt Boyd,DET,SP,2600000
Zach Davies,MIL,SP,2600000
Ketel Marte,ARI,CF,2600000
Matt Albers,MIL,RP,2500000
David Hernandez,CIN,RP,2500000
Matt Moore,DET,SP,2500000
Oliver Perez,CLE,RP,2500000
James McCann,CWS,C,2500000
Justin Bour,LAA,1B,2500000
Hernan Perez,MIL,2B,2500000
Adam Warren,SD,RP,2500000
Martin Maldonado,KC,C,2500000
Sergio Romo,MIA,RP,2500000
Jose Iglesias,CIN,SS,2500000
Seunghwan Oh,COL,RP,2500000
David Phelps,TOR,RP,2500000
