Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ENFP,Extravert,Intuitive,Feeling,Perceiving,7,,Pre-Sum14
Female,Communication Disorders,ENTJ,Extravert,Intuitive,Thinking,Judging,7,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Communication Disorders,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,5,,Pre-Sum14
Female,Communication Disorders,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,INFP,Introvert,Intuitive,Feeling,Perceiving,7,,Pre-Sum14
Female,Communication Disorders,INFP,Introvert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Female,Communication Disorders,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Communication Disorders,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Communication Disorders,INTP,Introvert,Intuitive,Thinking,Perceiving,4,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Communication Disorders,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Pre-Sum14
Female,Communication Disorders,ISTP,Introvert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,7,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENFP,Extravert,Intuitive,Feeling,Perceiving,7,,Pre-Sum14
Female,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,6,,Pre-Sum14
Female,Criminal Justice,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,7,,Pre-Sum14
Female,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,7,,Pre-Sum14
Female,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Pre-Sum14
Female,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,4,,Pre-Sum14
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Criminal Justice,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,4,,Pre-Sum14
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,7,,Pre-Sum14
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,,Pre-Sum14
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Pre-Sum14
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,H&ES,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,H&ES,ENFJ,Extravert,Intuitive,Feeling,Judging,3,,Pre-Sum14
Female,H&ES,ENFJ,Extravert,Intuitive,Feeling,Judging,4,,Pre-Sum14
Female,H&ES,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,H&ES,ENTJ,Extravert,Intuitive,Thinking,Judging,4,,Pre-Sum14
Female,H&ES,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,H&ES,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,H&ES,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,H&ES,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,H&ES,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,4,,Pre-Sum14
Female,H&ES,INTJ,Introvert,Intuitive,Thinking,Judging,4,,Pre-Sum14
Female,H&ES,INTJ,Introvert,Intuitive,Thinking,Judging,7,,Pre-Sum14
Female,H&ES,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Female,H&ES,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,H&ES,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,H&ES,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,H&ES,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,H&ES,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,H&ES,ISTP,Introvert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,6,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,2,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,4,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,7,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,3,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,3,,Pre-Sum14
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,,Pre-Sum14
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Female,Nursing,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Nursing,ENTP,Extravert,Intuitive,Thinking,Perceiving,5,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,6,,Pre-Sum14
Female,Nursing,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Nursing,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,,Pre-Sum14
Female,Nursing,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,,Pre-Sum14
Female,Nursing,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,3,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Pre-Sum14
Female,Nursing,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,3,,Pre-Sum14
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Pre-Sum14
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Female,Other,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Female,Other,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Female,Other,ENTJ,Extravert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Female,Other,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,3,,Pre-Sum14
Female,Other,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Other,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Pre-Sum14
Female,Other,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,,Pre-Sum14
Female,Other,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Pre-Sum14
