gender,ideal,height,armspan,forearm,hand,leg,foot,semester
Both,73,65.5,65,17,9,20,10.5,S17
female,68,65.5,67,15.75,7,19,9.5,S18
female,65,65.5,66,9.5,7,18,9,S18
female,66,65.5,65.5,17,7.5,17,9,Sum13
female,67.5,65.5,65,17,7.5,18.5,9,Sum14
female,68,65.5,66,17,7,18,9,Sum15
female,64,65.75,66,17.5,8,18,10,S13
female,69,66,62,17,7,18,10,F13
female,67,66,64,16.5,7.25,19,9,F13
male,72,66,71,18,7.5,20,11.25,F15
female,63,66,63,19.25,6.5,17,9,S13
female,66,66,65,16.5,7,20,10,S13
female,67,66,66,16,7,17,9,S13
female,72,66,66.5,17,6.5,16,9,S13
female,66,66,62,17.5,7,16,,S14
female,66,66,64.5,16.5,7,17,8.5,S14
female,68,66,64.5,19.5,7.5,16.5,10.25,S14
female,68,66,66.5,17.5,7,16,9.5,S14
female,66,66,67,19,7.25,17,9.5,S14
male,66,66,66.5,18.5,7.25,16.25,9.5,S14
female,67,66,62,14.5,6.5,18,11,S16
female,66,66,64,17,7.5,20,9,S16
female,67,66,65,16.5,6.5,20,9,S16
male,73,66,73,18.25,8,20.5,10.5,S16
female,72,66,65,15.5,6.5,18,9,S17
female,63.5,66,67,15.25,6.75,20,9,S17
female,66,66,68,10,6.75,18.5,9,S18
female,63,66,60,17,8,20,10,Sum13
female,66,66,62.5,16,7,19,9.5,Sum13
female,67,66,65,15,6,15,7.5,Sum13
female,62,66,64,16.5,7,17.5,9,Sum15
male,75,66,67,18,7,18.5,10,Sum15
female,71,66.25,69,18.5,7.5,19.25,9.5,S18
female,67,66.5,64.5,16,7,19.5,10,F13
female,66,66.5,65,19,7,16,9.5,S14
female,67,66.5,67.5,17.5,8,18.5,9,S14
female,66.5,66.5,67.5,18,7.25,18.5,9.5,S16
female,65,66.5,63.5,18,8,18.5,10,S17
female,68,66.5,65.5,16.75,7.5,18.5,9.5,S17
female,66.5,66.5,66.75,15.75,7,20,9.25,S17
male,77,66.5,71,18,8,18.5,9.5,S17
female,66.5,66.5,64.5,16,7.25,19.5,9,Sum14
female,65,66.5,63.5,18,7.5,20,9,Sum15
male,72,66.75,65,17,7,16.5,9.5,S14
female,64.5,66.75,65,16.75,7.25,17.75,9.5,S16
female,68,67,63.5,16,7.5,17,9,F13
female,65,67,65,16,7,20.5,11.25,F13
female,65,67,66.5,17.5,7.5,20,10,F13
male,70,67,65,15,7.5,15,10,F13
female,64,67,60,19,7,19.5,9,F15
male,67,67,71,16.5,7.25,18.5,10.5,F15
female,69,67,63.5,17,7,18,8.5,S13
male,72,67,70,17,8,15.5,11,S13
female,67,67,64.5,19.5,7,16.25,11.75,S14
female,68,67,68,18,7,16,11,S14
male,72,67,69,16.5,7.5,17,9,S14
female,65,67,62,17,7,18,10,S16
male,73,67,67.75,16,7.5,19,10,S16
female,67,67,65,17,7.75,17.5,9,S17
female,66,67,66,17,7,19,9,S17
female,66,67,67,19.5,7.75,21,9.5,S17
female,70,67,67,18,8,18,9.5,S17
female,66,67,68,17.5,7,19.5,9.5,S17
male,72,67,63,17,7,20,10,S17
male,45,67,72,16.75,7.5,18.5,10,S17
female,68,67,65.75,17,7.25,19,9.25,S18
male,67,67,66,10,7,20.5,10,S18
male,70,67,63,18,8,20,11,Sum13
male,80,67,68.5,17.5,7,18,10,Sum14
male,72,67,66,17.5,7,21,9.5,Sum15
male,67,67,,18,7,18,10,Sum15
female,68,67,67,16,7,17,9,Sum16
female,64,67.25,68.75,19,7,16.25,10.5,S14
female,69,67.5,67,18,7,21,10,F13
male,72,67.5,67.5,16.5,7.5,19,11,F13
female,65,67.5,65.25,16.5,7.25,19.75,9.5,F15
male,72,67.5,68.25,17,7,15,9.5,F15
male,69,67.5,61,17.5,7,16,11.5,S14
male,75,67.5,69,17.5,7.5,17.5,10.5,S14
male,74,67.5,66.25,15.5,7.25,19,10,S16
female,68,67.5,67.5,17,7.5,15.5,9.75,S17
female,66,67.5,68.5,17,6.5,21,8,S17
male,68.5,67.5,66,17.5,7.25,17,10,S17
female,70,67.5,68.5,17,6.5,18.5,9.5,S18
female,62,68,68,16.5,7.5,19,8.5,F13
