name,team,position,state,division,salary,age
Hiroki Kuroda,New York Yankees,Starting pitcher,New York,AL East,15000000,37
David Ortiz,Boston Red Sox,Designated hitter,Massachusetts,AL East,14500000,36
Yadier Molina,St. Louis Cardinals,Catcher,Missouri,NL Central,14200000,29
Ryan Zimmerman,Washington Nationals,Third baseman,"Washington, D.C.",NL East,14100000,27
Jose Bautista,Toronto Blue Jays,Right fielder,Toronto,AL East,14000000,31
Hunter Pence,San Francisco Giants,Right fielder,California,NL West,13800000,29
Josh Johnson,Toronto Blue Jays,Starting pitcher,Toronto,AL East,13750000,28
Wandy Rodriguez,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,13500000,33
Andre Ethier,Los Angeles Dodgers,Right fielder,California,NL West,13500000,30
Ryan Dempster,Boston Red Sox,Starting pitcher,Massachusetts,AL East,13250000,35
Ted Lilly,Los Angeles Dodgers,Starting pitcher,California,NL West,13166667,36
Dan Uggla,Atlanta Braves,Second baseman,Georgia,NL East,13146942,32
B.J. Upton,Atlanta Braves,Center fielder,Georgia,NL East,13050000,27
Alex Rios,Chicago White Sox,Center fielder,Illinois,AL Central,13000000,31
Victor Martinez,Detroit Tigers,Designated hitter,Michigan,AL Central,13000000,34
Ervin Santana,Kansas City Royals,Starting pitcher,Missouri,AL Central,13000000,29
Shane Victorino,Boston Red Sox,Right fielder,Massachusetts,AL East,13000000,31
Ian Kinsler,Texas Rangers,Second baseman,Texas,AL West,13000000,30
Edwin Jackson,Chicago Cubs,Starting pitcher,Illinois,NL Central,13000000,28
Carlos Beltran,St. Louis Cardinals,Right fielder,Missouri,NL Central,13000000,35
Jonathan Papelbon,Philadelphia Phillies,Closer,Pennsylvania,NL East,13000000,31
Dan Haren,Washington Nationals,Starting pitcher,"Washington, D.C.",NL East,13000000,31
Paul Konerko,Chicago White Sox,First baseman,Illinois,AL Central,12501506,36
Torii Hunter,Detroit Tigers,Right fielder,Michigan,AL Central,12000000,36
Andy Pettitte,New York Yankees,Starting pitcher,New York,AL East,12000000,40
Kevin Youkilis,New York Yankees,Third baseman,New York,AL East,12000000,33
Mark Buehrle,Toronto Blue Jays,Starting pitcher,Toronto,AL East,12000000,33
Adam Wainwright,St. Louis Cardinals,Starting pitcher,Missouri,NL Central,12000000,30
Brian McCann,Atlanta Braves,Catcher,Georgia,NL East,12000000,28
Chris Carpenter,St. Louis Cardinals,Starting pitcher,Missouri,NL Central,11941975,37
Clayton Kershaw,Los Angeles Dodgers,Starting pitcher,California,NL West,11750000,24
Rafael Soriano,Washington Nationals,Closer,"Washington, D.C.",NL East,11742091,32
Jon Lester,Boston Red Sox,Starting pitcher,Massachusetts,AL East,11625000,28
C.J. Wilson,Los Angeles Angels,Starting pitcher,California,AL West,11500000,31
Ricky Nolasco,Miami Marlins,Starting pitcher,Florida,NL East,11500000,29
Nick Swisher,Cleveland Indians,Right fielder,Ohio,AL Central,11000000,32
James Shields,Kansas City Royals,Starting pitcher,Missouri,AL Central,11000000,30
Rickie Weeks,Milwaukee Brewers,Second baseman,Wisconsin,NL Central,11000000,29
Jimmy Rollins,Philadelphia Phillies,Shortstop,Pennsylvania,NL East,11000000,33
Jorge De La Rosa,Colorado Rockies,Starting pitcher,Colorado,NL West,11000000,31
Chad Billingsley,Los Angeles Dodgers,Starting pitcher,California,NL West,11000000,27
Michael Cuddyer,Colorado Rockies,Right fielder,Colorado,NL West,10500000,33
Corey Hart,Milwaukee Brewers,First baseman,Wisconsin,NL Central,10333333,30
Dustin Pedroia,Boston Red Sox,Second baseman,Massachusetts,AL East,10250000,28
Nelson Cruz,Texas Rangers,Right fielder,Texas,AL West,10250000,31
Matt Garza,Chicago Cubs,Starting pitcher,Illinois,NL Central,10250000,28
David Wright,New York Mets,Third baseman,New York,NL East,10192071,29
Carlos Marmol,Chicago Cubs,Closer,Illinois,NL Central,10133333,29
Brandon Phillips,Cincinnati Reds,Second baseman,Ohio,NL Central,10083333,31
Kyle Lohse,Milwaukee Brewers,Starting pitcher,Wisconsin,NL Central,10063922,34
Brian Roberts,Baltimore Orioles,Second baseman,Maryland,AL East,10000000,34
Mariano Rivera,New York Yankees,Closer,New York,AL East,10000000,42
Jose Reyes,Toronto Blue Jays,Shortstop,Toronto,AL East,10000000,29
Lance Berkman,Texas Rangers,Designated hitter,Texas,AL West,10000000,36
Aramis Ramirez,Milwaukee Brewers,Third baseman,Wisconsin,NL Central,10000000,34
Adam LaRoche,Washington Nationals,First baseman,"Washington, D.C.",NL East,10000000,32
Martin Prado,Arizona Diamondbacks,Third baseman,Arizona,NL West,7000000,28
Huston Street,San Diego Padres,Closer,California,NL West,7000000,28
Michael Bourn,Cleveland Indians,Center fielder,Ohio,AL Central,7000000,30
Jeff Francoeur,Kansas City Royals,Right fielder,Missouri,AL Central,6750000,28
Jason Hammel,Baltimore Orioles,Starting pitcher,Maryland,AL East,6750000,29
Max Scherzer,Detroit Tigers,Starting pitcher,Michigan,AL Central,6725000,27
Marco Scutaro,San Francisco Giants,Second baseman,California,NL West,6666667,36
Asdrubal Cabrera,Cleveland Indians,Shortstop,Ohio,AL Central,6500000,26
Jim Johnson,Baltimore Orioles,Closer,Maryland,AL East,6500000,29
Ichiro Suzuki,New York Yankees,Right fielder,New York,AL East,6500000,38
Joe Blanton,Los Angeles Angels,Starting pitcher,California,AL West,6500000,31
Hisashi Iwakuma,Seattle Mariners,Starting pitcher,Washington,AL West,6500000,31
Paul Maholm,Atlanta Braves,Starting pitcher,Georgia,NL East,6500000,30
John Buck,New York Mets,Catcher,New York,NL East,6500000,31
Frank Francisco,New York Mets,Closer,New York,NL East,6500000,32
J.J. Putz,Arizona Diamondbacks,Closer,Arizona,NL West,6500000,35
Kurt Suzuki,Washington Nationals,Catcher,"Washington, D.C.",NL East,6487500,28
Chris Capuano,Los Angeles Dodgers,Starting pitcher,California,NL West,6375000,33
Gio Gonzalez,Washington Nationals,Starting pitcher,"Washington, D.C.",NL East,6350000,26
Todd Helton,Colorado Rockies,First baseman,Colorado,NL West,6175000,38
Mark Reynolds,Cleveland Indians,First baseman,Ohio,AL Central,6000000,28
Jhonny Peralta,Detroit Tigers,Shortstop,Michigan,AL Central,6000000,30
Joe Saunders,Seattle Mariners,Starting pitcher,Washington,AL West,6000000,31
Scott Feldman,Chicago Cubs,Starting pitcher,Illinois,NL Central,6000000,29
Cody Ross,Arizona Diamondbacks,Right fielder,Arizona,NL West,6000000,31
Aaron Harang,Los Angeles Dodgers,Starting pitcher,California,NL West,6000000,34
Jeremy Affeldt,San Francisco Giants,Bullpen,California,NL West,6000000,33
Jaime Garcia,St. Louis Cardinals,Starting pitcher,Missouri,NL Central,5875000,25
Starlin Castro,Chicago Cubs,Shortstop,Illinois,NL Central,5857143,22
David Murphy,Texas Rangers,Left fielder,Texas,AL West,5775000,30
Ubaldo Jimenez,Cleveland Indians,Starting pitcher,Ohio,AL Central,5750000,28
Clay Buchholz,Boston Red Sox,Starting pitcher,Massachusetts,AL East,5750000,27
Brett Anderson,Oakland Athletics,Starting pitcher,California,AL West,5750000,24
Edinson Volquez,San Diego Padres,Starting pitcher,California,NL West,5725000,28
Trevor Cahill,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,5700000,24
Pablo Sandoval,San Francisco Giants,Third baseman,California,NL West,5700000,25
Justin Masterson,Cleveland Indians,Starting pitcher,Ohio,AL Central,5687500,27
Ben Zobrist,Tampa Bay Rays,Utility,Florida,AL East,5687300,31
Matt Thornton,Chicago White Sox,Bullpen,Illinois,AL Central,5500000,35
Joaquin Benoit,Detroit Tigers,Bullpen,Michigan,AL Central,5500000,34
Matt Wieters,Baltimore Orioles,Catcher,Maryland,AL East,5500000,26
Scott Baker,Chicago Cubs,Starting pitcher,Illinois,NL Central,5500000,31
Clint Barmes,Pittsburgh Pirates,Shortstop,Pennsylvania,NL Central,5500000,33
Aaron Hill,Arizona Diamondbacks,Second baseman,Arizona,NL West,5500000,30
Brandon League,Los Angeles Dodgers,Closer,California,NL West,5500000,29
Homer Bailey,Cincinnati Reds,Starting pitcher,Ohio,NL Central,5350000,26
Jordan Zimmerman,Washington Nationals,Starting pitcher,"Washington, D.C.",NL East,5350000,26
Kendrys Morales,Seattle Mariners,First baseman,Washington,AL West,5250000,29
Brandon McCarthy,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,5250000,28
Mark Ellis,Los Angeles Dodgers,Second baseman,California,NL West,5250000,35
Clayton Richard,San Diego Padres,Starting pitcher,California,NL West,5240000,28
Matt Harrison,Texas Rangers,Starting pitcher,Texas,AL West,5200000,26
Adam Lind,Toronto Blue Jays,Outfielder,Toronto,AL East,5150000,28
Rick Porcello,Detroit Tigers,Starting pitcher,Michigan,AL Central,5100000,23
Chris Iannetta,Los Angeles Angels,Catcher,California,AL West,5050000,29
Elvis Andrus,Texas Rangers,Shortstop,Texas,AL West,5050000,23
Jeremy Guthrie,Kansas City Royals,Starting pitcher,Missouri,AL Central,5000000,33
Jonny Gomes,Boston Red Sox,Left fielder,Massachusetts,AL East,5000000,31
Mike Napoli,Boston Red Sox,First baseman,Massachusetts,AL East,5000000,30
Yunel Escobar,Tampa Bay Rays,Shortstop,Florida,AL East,5000000,29
R.A. Dickey,Toronto Blue Jays,Starting pitcher,Toronto,AL East,5000000,37
Scott Downs,Los Angeles Angels,Bullpen,California,AL West,5000000,36
Carlos Villanueva,Chicago Cubs,Starting pitcher,Illinois,NL Central,5000000,28
John Axford,Milwaukee Brewers,Closer,Wisconsin,NL Central,5000000,29
Mike Adams,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,5000000,33
Carlos Ruiz,Philadelphia Phillies,Catcher,Pennsylvania,NL East,5000000,33
Ryan Vogelsong,San Francisco Giants,Starting pitcher,California,NL West,5000000,34
Aroldis Chapman,Cincinnati Reds,Starting pitcher,Ohio,NL Central,4835772,24
Denard Span,Washington Nationals,Center fielder,"Washington, D.C.",NL East,4750000,28
Matt Guerrier,Los Angeles Dodgers,Bullpen,California,NL West,4711499,33
Andrew McCutchen,Pittsburgh Pirates,Center fielder,Pennsylvania,NL Central,4708333,25
Colby Rasmus,Toronto Blue Jays,Center fielder,Toronto,AL East,4675000,25
Sean Marshall,Cincinnati Reds,Bullpen,Ohio,NL Central,4625000,29
Luke Hochevar,Kansas City Royals,Starting pitcher,Missouri,AL Central,4560000,28
Jesse Crain,Chicago White Sox,Bullpen,Illinois,AL Central,4500000,30
Bruce Chen,Kansas City Royals,Starting pitcher,Missouri,AL Central,4500000,35
Kevin Correia,Minnesota Twins,Starting pitcher,Minnesota,AL Central,4500000,31
Jarrod Saltalamacchia,Boston Red Sox,Catcher,Massachusetts,AL East,4500000,27
Grant Balfour,Oakland Athletics,Closer,California,AL West,4500000,34
Kyuji Fujikawa,Chicago Cubs,Bullpen,Illinois,NL Central,4500000,32
Garrett Jones,Pittsburgh Pirates,First baseman,Pennsylvania,NL Central,4500000,31
Jason Motte,St. Louis Cardinals,Closer,Missouri,NL Central,4500000,30
Kyle Kendrick,Philadelphia Phillies,Starting pitcher,Pennsylvania,NL East,4500000,27
Eric O'Flaherty,Atlanta Braves,Bullpen,Georgia,NL East,4320000,27
Carlos Gomez,Milwaukee Brewers,Center fielder,Wisconsin,NL Central,4300000,27
Ian Kennedy,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,4265000,27
Koji Uehara,Boston Red Sox,Bullpen,Massachusetts,AL East,4250000,37
David DeJesus,Chicago Cubs,Center fielder,Illinois,NL Central,4250000,32
Mat Latos,Cincinnati Reds,Starting pitcher,Ohio,NL Central,4250000,24
Rafael Betancourt,Colorado Rockies,Closer,Colorado,NL West,4250000,27
Javier Lopez,San Francisco Giants,Bullpen,California,NL West,4250000,34
Tsuyoshi Wada,Baltimore Orioles,Starting pitcher,Maryland,AL East,4200000,31
Santiago Casilla,San Francisco Giants,Bullpen,California,NL West,4166667,31
Andrew Bailey,Boston Red Sox,Bullpen,Massachusetts,AL East,4100000,28
Alberto Callaspo,Los Angeles Angels,Third baseman,California,AL West,4100000,29
Matt Belisle,Colorado Rockies,Bullpen,Colorado,NL West,4100000,32
Doug Fister,Detroit Tigers,Starting pitcher,Michigan,AL Central,4000000,28
Omar Infante,Detroit Tigers,Second baseman,Michigan,AL Central,4000000,30
Mike Pelfrey,Minnesota Twins,Starting pitcher,Minnesota,AL Central,4000000,29
Jonathan Broxton,Cincinnati Reds,Closer,Ohio,NL Central,4000000,28
Shaun Marcum,New York Mets,Starting pitcher,New York,NL East,4000000,30
Tyler Clippard,Washington Nationals,Bullpen,"Washington, D.C.",NL East,4000000,27
Casey Janssen,Toronto Blue Jays,Closer,Toronto,AL East,3900000,30
Stephen Strasburg,Washington Nationals,Starting pitcher,"Washington, D.C.",NL East,3900000,23
Ian Desmond,Washington Nationals,Shortstop,"Washington, D.C.",NL East,3800000,26
Jamey Carroll,Minnesota Twins,Second baseman,Minnesota,AL Central,3750000,38
Dexter Fowler,Colorado Rockies,Left fielder,Colorado,NL West,3750000,26
Jerry Hairston Jr.,Los Angeles Dodgers,Utility,California,NL West,3750000,36
Tommy Hanson,Los Angeles Angels,Starting pitcher,California,AL West,3725000,25
J.A. Happ,Toronto Blue Jays,Starting pitcher,Toronto,AL East,3700000,29
Seth Smith,Oakland Athletics,Outfielder,California,AL West,3675000,29
Wei-Yin Chen,Baltimore Orioles,Starting pitcher,Maryland,AL East,3655333,26
Jason Heyward,Atlanta Braves,Right fielder,Georgia,NL East,3650000,22
Sean Burnett,Los Angeles Angels,Bullpen,California,AL West,3625000,29
Jeff Keppinger,Chicago White Sox,Utility,Illinois,AL Central,3500000,32
Octavio Dotel,Detroit Tigers,Bullpen,Michigan,AL Central,3500000,38
Austin Jackson,Detroit Tigers,Center fielder,Michigan,AL Central,3500000,25
Ryan Doumit,Minnesota Twins,Catcher,Minnesota,AL Central,3500000,31
Ryan Madson,Los Angeles Angels,Closer,California,AL West,3500000,32
Sergio Romo,San Francisco Giants,Closer,California,NL West,3500000,29
Derek Holland,Texas Rangers,Starting pitcher,Texas,AL West,3400000,25
Hyun-Jin Ryu,Los Angeles Dodgers,Starting pitcher,California,NL West,3333333,25
Chris Davis,Baltimore Orioles,First baseman,Maryland,AL East,3300000,26
Neil Walker,Pittsburgh Pirates,Second baseman,Pennsylvania,NL Central,3300000,26
Roberto Hernandez,Tampa Bay Rays,Bullpen,Florida,AL East,3250000,32
Brendan Ryan,Seattle Mariners,Shortstop,Washington,AL West,3250000,30
Leonys Martin,Texas Rangers,Center fielder,Texas,AL West,3250000,24
Edward Mujica,St. Louis Cardinals,Bullpen,Missouri,NL Central,3200000,28
Ramon Hernandez,Colorado Rockies,Catcher,Colorado,NL West,3200000,36
Luke Gregerson,San Diego Padres,Bullpen,California,NL West,3200000,28
Joe Smith,Cleveland Indians,Bullpen,Ohio,AL Central,3150000,28
Boone Logan,New York Yankees,Bullpen,New York,AL East,3150000,27
David Freese,St. Louis Cardinals,Third baseman,Missouri,NL Central,3150000,29
Brad Ziegler,Arizona Diamondbacks,Bullpen,Arizona,NL West,3150000,32
Ike Davis,New York Mets,First baseman,New York,NL East,3125000,25
David Ross,Boston Red Sox,Catcher,Massachusetts,AL East,3100000,35
David Robertson,New York Yankees,Bullpen,New York,AL East,3100000,27
Nick Masset,Cincinnati Reds,Bullpen,Ohio,NL Central,3100000,30
Cameron Maybin,San Diego Padres,Center fielder,California,NL West,3100000,25
Mike Leake,Cincinnati Reds,Starting pitcher,Ohio,NL Central,3060000,24
Jon Niese,New York Mets,Starting pitcher,New York,NL East,3050000,25
James McDonald,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,3025000,27
Alcides Escobar,Kansas City Royals,Shortstop,Missouri,AL Central,3000000,25
Jeff Niemann,Tampa Bay Rays,Starting pitcher,Florida,AL East,3000000,29
Joel Peralta,Tampa Bay Rays,Bullpen,Florida,AL East,3000000,36
Maicer Izturis,Toronto Blue Jays,Second baseman,Toronto,AL East,3000000,31
Darren Oliver,Toronto Blue Jays,Bullpen,Toronto,AL East,3000000,41
Bud Norris,Houston Astros,Starting pitcher,Texas,AL West,3000000,27
Bartolo Colon,Oakland Athletics,Starting pitcher,California,AL West,3000000,39
Eric Chavez,Arizona Diamondbacks,Third baseman,Arizona,NL West,3000000,34
Nick Hundley,San Diego Padres,Catcher,California,NL West,3000000,28
Jason Marquis,San Diego Padres,Starting pitcher,California,NL West,3000000,33
Alex Avila,Detroit Tigers,Catcher,Michigan,AL Central,2950000,25
Ryan Roberts,Tampa Bay Rays,Utility,Florida,AL East,2950000,31
Gordon Beckham,Chicago White Sox,Second baseman,Illinois,AL Central,2925000,25
Daniel Murphy,New York Mets,Second baseman,New York,NL East,2925000,27
Carlos Pena,Houston Astros,First baseman,Texas,AL West,2900000,34
Neftali Feliz,Texas Rangers,Starting pitcher,Texas,AL West,2900000,24
Hiroyuki Nakajima,Oakland Athletics,Shortstop,California,AL West,2875000,30
Brett Gardner,New York Yankees,Left fielder,New York,AL East,2850000,28
J.P. Howell,Los Angeles Dodgers,Bullpen,California,NL West,2850000,29
Drew Stubbs,Cleveland Indians,Center fielder,Ohio,AL Central,2825000,27
