name,team,position,state,division,salary,age
Steve Johnson,Baltimore Orioles,Bullpen,Maryland,AL East,495000,25
John Hester,Los Angeles Angels,Catcher,California,AL West,495000,29
Garret Richards,Los Angeles Angels,Starting pitcher,California,AL West,495000,24
Eduardo Escobar,Minnesota Twins,Infielder,Minnesota,AL Central,495000,24
Jordan Norberto,Oakland Athletics,Starting pitcher,California,AL West,495000,26
Evan Scribner,Oakland Athletics,Bullpen,California,AL West,495000,27
Eric Sogard,Oakland Athletics,Infielder,California,AL West,495000,26
Jenrry Mejia,New York Mets,Starting pitcher,New York,NL East,494925,23
Justin Ruggiano,Miami Marlins,Center fielder,Florida,NL East,494500,30
George Kontos,San Francisco Giants,Bullpen,California,NL West,494500,27
Marwin Gonzalez,Houston Astros,Third baseman,Texas,AL West,494400,23
Joe Wieland,San Diego Padres,Starting pitcher,California,NL West,494300,23
Aaron Loup,Toronto Blue Jays,Bullpen,Toronto,AL East,494200,24
Chris Carter,Houston Astros,First baseman,Texas,AL West,494000,25
Martin Maldonado,Milwaukee Brewers,Catcher,Wisconsin,NL Central,494000,26
Bret Pill,San Francisco Giants,Utility,California,NL West,494000,27
Darin Downs,Detroit Tigers,Bullpen,Michigan,AL Central,494000,28
Patrick Corbin,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,494000,23
James Darnell,San Diego Padres,Third baseman,California,NL West,493700,26
David Huff,Cleveland Indians,Bullpen,Ohio,AL Central,493600,27
Tanner Scheppers,Texas Rangers,Bullpen,Texas,AL West,493600,26
Collin Cowgill,New York Mets,Outfielder,New York,NL East,493520,26
Ryan Flaherty,Baltimore Orioles,Second baseman,Maryland,AL East,493500,25
Josh Edgin,New York Mets,Bullpen,New York,NL East,493500,25
Justin Wilson,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,493500,25
Hector Ambriz,Houston Astros,Bullpen,Texas,AL West,493400,28
Drew Hutchison,Toronto Blue Jays,Starting pitcher,Toronto,AL East,493200,22
Hector Gimenez,Chicago White Sox,Catcher,Illinois,AL Central,493000,29
Fernando Martinez,Houston Astros,Outfielder,Texas,AL West,493000,23
Joe Kelly,St. Louis Cardinals,Starting pitcher,Missouri,NL Central,493000,24
Leyson Septimo,Chicago White Sox,Bullpen,Illinois,AL Central,493000,27
Dylan Axelrod,Chicago White Sox,Starting pitcher,Illinois,AL Central,493000,27
Chase d'Arnaud,Pittsburgh Pirates,Infielder,Pennsylvania,NL Central,493000,26
Tyler Moore,Washington Nationals,Left fielder,"Washington, D.C.",NL East,493000,25
Dave Carpenter,Los Angeles Angels,Bullpen,California,AL West,493000,27
Lonnie Chisenhall,Cleveland Indians,Third baseman,Ohio,AL Central,492900,23
Cody Allen,Cleveland Indians,Bullpen,Ohio,AL Central,492600,24
Justin Maxwell,Houston Astros,Outfielder,Texas,AL West,492500,28
Sean Doolittle,Oakland Athletics,Bullpen,California,AL West,492500,25
A.J. Griffin,Oakland Athletics,Starting pitcher,California,AL West,492500,24
Derek Norris,Oakland Athletics,Catcher,California,AL West,492500,23
Michael Dunn,Miami Marlins,Bullpen,Florida,NL East,492500,27
Michael Stutes,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,492500,25
Josh Donaldson,Oakland Athletics,Third baseman,California,AL West,492500,27
Pedro Figueroa,Oakland Athletics,Bullpen,California,AL West,492500,27
Andy Parrino,Oakland Athletics,Infielder,California,AL West,492500,27
Dan Straily,Oakland Athletics,Starting pitcher,California,AL West,492500,23
J.J. Hoover,Cincinnati Reds,Bullpen,Ohio,NL Central,492500,25
Stephen Fife,Los Angeles Dodgers,Starting pitcher,California,NL West,492500,26
Elian Herrera,Los Angeles Dodgers,Utility,California,NL West,492500,23
Stephen Pryor,Seattle Mariners,Bullpen,Washington,AL West,492200,23
Nick Hagadone,Cleveland Indians,Bullpen,Ohio,AL Central,492100,26
Martin Perez,Texas Rangers,Bullpen,Texas,AL West,492000,21
Brett Jackson,Chicago Cubs,Outfielder,Illinois,NL Central,492000,23
Jean Segura,Milwaukee Brewers,Shortstop,Wisconsin,NL Central,492000,22
Eric Young Jr.,Colorado Rockies,Utility,Colorado,NL West,492000,27
Brian Omogrosso,Chicago White Sox,Bullpen,Illinois,AL Central,492000,28
Andrew Romine,Los Angeles Angels,Infielder,California,AL West,492000,27
Fernando Rodriguez,Oakland Athletics,Bullpen,California,AL West,492000,28
Cory Burns,Texas Rangers,Bullpen,Texas,AL West,492000,25
Dave Sappelt,Chicago Cubs,Outfielder,Illinois,NL Central,492000,26
Jim Henderson,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,492000,30
Matt Dominguez,Houston Astros,Third baseman,Texas,AL West,491800,22
Jeurys Familia,New York Mets,Bullpen,New York,NL East,491750,23
Brandon Barnes,Houston Astros,Outfielder,Texas,AL West,491700,26
Carter Capps,Seattle Mariners,Bullpen,Washington,AL West,491700,22
Logan Morrison,Miami Marlins,First baseman,Florida,NL East,491500,24
Donovan Solano,Miami Marlins,Second baseman,Florida,NL East,491500,24
Wade LeBlanc,Miami Marlins,Starting pitcher,Florida,NL East,491500,27
Steven Rodriguez,Los Angeles Dodgers,Bullpen,California,NL West,491500,21
Casey Kelly,San Diego Padres,Starting pitcher,California,NL West,491400,23
Robert Carson,New York Mets,Bullpen,New York,NL East,491375,24
Tommy Layne,San Diego Padres,Bullpen,California,NL West,491300,28
Andrelton Simmons,Atlanta Braves,Shortstop,Georgia,NL East,491250,22
Luis Avilan,Atlanta Braves,Bullpen,Georgia,NL East,491250,23
Cory Gearrin,Atlanta Braves,Bullpen,Georgia,NL East,491250,26
Sam Demel,New York Yankees,Bullpen,New York,AL East,491200,27
Arodys Vizcaino,Chicago Cubs,Bullpen,Illinois,NL Central,491000,22
Mat Gamel,Milwaukee Brewers,First baseman,Wisconsin,NL Central,491000,26
Brandon Kintzler,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,491000,27
Mark Rogers,Milwaukee Brewers,Starting pitcher,Wisconsin,NL Central,491000,26
Taylor Green,Milwaukee Brewers,Utility,Wisconsin,NL Central,491000,25
Adam Eaton,Arizona Diamondbacks,Center fielder,Arizona,NL West,491000,23
Rex Brothers,Colorado Rockies,Bullpen,Colorado,NL West,491000,24
Chris Nelson,Colorado Rockies,Third baseman,Colorado,NL West,491000,26
Juan Nicasio,Colorado Rockies,Starting pitcher,Colorado,NL West,491000,25
Jordan Pacheco,Colorado Rockies,Catcher,Colorado,NL West,491000,26
Wilin Rosario,Colorado Rockies,Catcher,Colorado,NL West,491000,23
Adam Ottavino,Colorado Rockies,Bullpen,Colorado,NL West,491000,26
Tim Federowicz,Los Angeles Dodgers,Catcher,California,NL West,491000,24
Christian Garcia,Washington Nationals,Bullpen,"Washington, D.C.",NL East,491000,27
Kole Calhoun,Los Angeles Angels,Right fielder,California,AL West,491000,25
Jurickson Profar,Texas Rangers,Shortstop,Texas,AL West,491000,20
Didi Gregorius,Arizona Diamondbacks,Shortstop,Arizona,NL West,491000,23
A.J. Pollock,Arizona Diamondbacks,Outfielder,Arizona,NL West,491000,25
Edgmer Escalona,Colorado Rockies,Bullpen,Colorado,NL West,491000,26
Anthony Recker,New York Mets,Catcher,New York,NL East,490840,28
Eric Surkamp,San Francisco Giants,Bullpen,California,NL West,490500,25
Conor Gillaspie,Chicago White Sox,Third baseman,Illinois,AL Central,490500,25
Jean Machi,San Francisco Giants,Bullpen,California,NL West,490500,30
Francisco Peguero,San Francisco Giants,Left fielder,California,NL West,490500,24
Alex Castellanos,Los Angeles Dodgers,Left fielder,California,NL West,490500,26
Josh Wall,Los Angeles Dodgers,Bullpen,California,NL West,490500,26
Melky Mesa,New York Yankees,Outfielder,New York,AL East,490200,26
Zach Lutz,New York Mets,Infielder,New York,NL East,490040,25
Carlos Carrasco,Cleveland Indians,Starting pitcher,Ohio,AL Central,490000,28
Jeff Bianchi,Milwaukee Brewers,Utility,Wisconsin,NL Central,490000,25
Wily Peralta,Milwaukee Brewers,Starting pitcher,Wisconsin,NL Central,490000,23
Pete Kozma,St. Louis Cardinals,Infielder,Missouri,NL Central,490000,24
Shelby Miller,St. Louis Cardinals,Bullpen,Missouri,NL Central,490000,21
Trevor Rosenthal,St. Louis Cardinals,Bullpen,Missouri,NL Central,490000,22
Julio Teheran,Atlanta Braves,Starting pitcher,Georgia,NL East,490000,21
Jose Ceda,Miami Marlins,Bullpen,Florida,NL East,490000,26
Rob Brantly,Miami Marlins,Catcher,Florida,NL East,490000,22
Gorkys Hernandez,Miami Marlins,Outfielder,Florida,NL East,490000,24
T.J. McFarland,Baltimore Orioles,Starting pitcher,Maryland,AL East,490000,23
Avisail Garcia,Detroit Tigers,Right fielder,Michigan,AL Central,490000,21
Josh Fields,Houston Astros,Infielder,Texas,AL West,490000,30
Brad Peacock,Houston Astros,Starting pitcher,Texas,AL West,490000,25
Scott Rice,New York Mets,Bullpen,New York,NL East,490000,31
Phillippe Aumont,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,490000,24
Freddy Galvis,Philadelphia Phillies,Infielder,Pennsylvania,NL East,490000,23
Ender Inciarte,Philadelphia Phillies,Outfielder,Pennsylvania,NL East,490000,22
Matt Adams,St. Louis Cardinals,First baseman,Missouri,NL Central,490000,24
Adron Chambers,St. Louis Cardinals,Outfielder,Missouri,NL Central,490000,26
Maikel Cleto,St. Louis Cardinals,Bullpen,Missouri,NL Central,490000,23
Ryan Jackson,St. Louis Cardinals,Infielder,Missouri,NL Central,490000,24
Luis Jimenez,Los Angeles Angels,Third baseman,California,AL West,490000,25
Andrew Taylor,Los Angeles Angels,Bullpen,California,AL West,490000,26
Aaron Hicks,Minnesota Twins,Center fielder,Minnesota,AL Central,490000,23
Ryan Pressly,Minnesota Twins,Starting pitcher,Minnesota,AL Central,490000,24
Cesar Cabral,New York Yankees,Bullpen,New York,AL East,490000,24
Nate Freiman,Oakland Athletics,First baseman,California,AL West,490000,26
Brandon Maurer,Seattle Mariners,Starting pitcher,Washington,AL West,490000,22
Leury Garcia,Texas Rangers,Shortstop,Texas,AL West,490000,22
Joe Ortiz,Texas Rangers,Bullpen,Texas,AL West,490000,22
Anthony Varvaro,Atlanta Braves,Bullpen,Georgia,NL East,490000,28
Hector Rondon,Chicago Cubs,Starting pitcher,Illinois,NL Central,490000,25
Aaron Cook,Colorado Rockies,Starting pitcher,Colorado,NL West,490000,34
Edwar Cabrera,Colorado Rockies,Starting pitcher,Colorado,NL West,490000,25
Josh Rutledge,Colorado Rockies,Shortstop,Colorado,NL West,490000,23
Joe Mahoney,Miami Marlins,First baseman,Florida,NL East,490000,26
A.J. Ramos,Miami Marlins,Bullpen,Florida,NL East,490000,26
Alfredo Silverio,Miami Marlins,Outfielder,Florida,NL East,490000,25
Kyle Skipworth,Miami Marlins,Catcher,Florida,NL East,490000,23
Khris Davis,Milwaukee Brewers,Left fielder,Wisconsin,NL Central,490000,25
Logan Schafer,Milwaukee Brewers,Center fielder,Wisconsin,NL Central,490000,26
Devin Mesoraco,Cincinnati Reds,Catcher,Ohio,NL Central,480000,24
LaTroy Hawkins,New York Mets,Bullpen,New York,NL East,480000,39
Aaron Laffey,New York Mets,Bullpen,New York,NL East,480000,27
Philip Humber,Houston Astros,Starting pitcher,Texas,AL West,480000,29
